Time,ax,ay,az
0.104996, -0.421352, -0.0383047, 10.304
0.212997, 0.114914, 0.153219, 9.53786
0.321999, -0.114914, 0.0766094, 10.0358
0.43, 0.153219, 0.229828, 9.57617
0.538002, -0.114914, 0.268133, 9.46126
0.646996, 0.114914, 0.0, 9.88261
0.754997, 0.153219, 0.114914, 10.1507
0.863998, 0.153219, 0.306437, 9.72939
0.972, 0.114914, 0.229828, 9.65278
1.079, 0.0766094, 0.114914, 9.88261
1.187, 0.0, 0.191523, 9.806
1.294, 0.114914, 0.268133, 9.46126
1.402, -0.0383047, 0.229828, 9.53786
1.509, 0.0383047, 0.229828, 10.0741
1.617, -0.0383047, 0.229828, 9.95922
1.725, -0.0383047, 0.268133, 9.65278
1.833, 0.0, 0.153219, 9.72939
1.942, -0.153219, 0.306437, 9.72939
2.05, 0.0383047, 0.191523, 9.92091
2.159, -0.0766094, 0.114914, 9.92091
2.267, 0.114914, 0.114914, 9.99752
2.375, 0.114914, 0.229828, 9.88261
2.488, 0.0766094, 0.153219, 9.65278
2.595, -0.0383047, 0.191523, 9.34634
2.703, 0.229828, 0.268133, 9.69109
2.81, 0.0383047, 0.0766094, 9.72939
2.917, 0.0383047, 0.383047, 9.69109
