Time,ax,ay,az
0.165009, -0.766094, 0.536266, 9.19312
0.27301, -0.612875, 0.497961, 9.65278
0.380005, -0.804398, 0.497961, 9.34634
0.487, -0.57457, 0.497961, 9.30804
0.595001, -0.689484, 0.65118, 9.0016
0.701004, -0.65118, 0.65118, 9.30804
0.809006, -0.842703, 0.65118, 9.42295
0.916, -1.03423, 0.766094, 9.07821
1.02299, -0.766094, 0.421352, 9.19312
1.12898, -0.766094, 0.536266, 9.30804
1.23601, -0.957617, 0.421352, 8.96329
1.34401, -0.766094, 0.65118, 9.46126
1.451, -0.766094, 0.57457, 9.15482
1.56001, -0.842703, 0.689484, 9.11651
1.72398, -0.842703, 0.497961, 9.11651
1.83101, -0.919312, 0.536266, 9.07821
1.93901, -0.727789, 0.421352, 9.38465
2.04601, -0.881008, 0.536266, 8.84838
2.153, -0.919312, 0.57457, 9.34634
2.261, -1.03423, 0.421352, 9.53786
2.368, -0.804398, 0.57457, 9.0016
2.476, -0.881008, 0.804398, 9.30804
2.58299, -0.957617, 0.612875, 9.19312
2.69099, -0.881008, 0.536266, 9.23143
2.79799, -0.804398, 0.497961, 9.38465
2.90599, -0.842703, 0.383047, 8.84838
