Time,ax,ay,az
0.172012, 0.153219, 3.02607, 8.61855
0.280014, -0.0766094, 2.75794, 9.65278
0.386002, -0.229828, 3.2559, 9.19312
0.493011, -0.229828, 3.14098, 9.0016
0.601013, -0.268133, 3.02607, 9.61448
0.708008, 0.0383047, 3.06437, 9.19312
0.81601, -0.114914, 2.87285, 9.72939
0.923004, -0.0766094, 3.14098, 9.11651
1.03101, 0.0, 3.02607, 9.03991
1.13701, 0.0, 2.71963, 9.46126
1.244, -0.0766094, 3.06437, 9.15482
1.35201, 0.0, 3.02607, 9.46126
1.45901, 0.0383047, 2.94946, 9.19312
1.567, -0.0383047, 3.06437, 9.30804
1.73901, 0.0, 3.17929, 9.57617
1.84601, 0.0383047, 2.94946, 9.30804
1.953, -0.114914, 3.21759, 9.65278
2.061, -0.0766094, 3.33251, 9.53786
2.16801, 0.0, 3.14098, 9.23143
2.27501, 0.191523, 3.10268, 9.15482
2.382, 0.191523, 3.10268, 8.96329
2.48901, -0.344742, 3.02607, 9.34634
2.597, -0.191523, 3.17929, 9.34634
2.70401, 0.0766094, 2.94946, 9.61448
2.81201, 0.0766094, 2.75794, 9.38465
2.91901, 0.0766094, 2.87285, 9.46126
