Time,ax,ay,az
0.173004, 0.114914, -0.383047, 9.92091
0.281006, 0.229828, -0.306437, 9.26973
0.388, -0.0383047, -0.421352, 9.88261
0.494995, -0.0383047, -0.344742, 9.72939
0.602997, -0.0383047, -0.306437, 9.72939
0.709991, 0.0766094, -0.421352, 9.46126
0.817993, 0.0383047, -0.459656, 9.61448
0.924988, 0.0, -0.344742, 9.76769
1.03299, 0.0383047, -0.306437, 9.34634
1.13998, 0.0383047, -0.306437, 9.69109
1.24701, -0.0383047, -0.383047, 9.42295
1.35501, 0.114914, -0.421352, 9.23143
1.46201, 0.0766094, -0.383047, 9.69109
1.633, 0.153219, -0.421352, 9.15482
1.741, -0.0766094, -0.459656, 9.46126
1.84799, 0.114914, -0.268133, 9.65278
1.95499, -0.0766094, -0.421352, 9.61448
2.06299, 0.229828, -0.344742, 9.57617
2.17001, 0.459656, -0.459656, 9.65278
2.27798, 0.268133, -0.306437, 9.57617
2.38501, 0.229828, -0.229828, 9.03991
2.49301, 0.153219, -0.344742, 9.57617
2.60001, 0.268133, -0.344742, 9.61448
2.70599, 0.153219, -0.306437, 9.03991
2.814, 0.114914, -0.344742, 9.61448
2.92099, 0.191523, -0.344742, 9.34634
