Time,ax,ay,az
0.170013, 0.766094, -1.07253, 7.3928
0.277008, -0.344742, -0.766094, 5.89892
0.384003, -3.21759, -1.03423, 12.6022
0.492004, 2.29828, -0.344742, 22.7913
0.598999, 3.56234, 0.919312, 26.0089
0.705994, 2.37489, -1.07253, 17.3903
0.812988, -0.65118, -0.191523, -0.766094
0.92099, -1.30236, -0.612875, -0.268133
1.02798, -0.114914, -0.229828, -0.0766094
1.13498, 0.0383047, -0.383047, 0.114914
1.24301, -0.153219, -0.421352, -0.306437
1.35001, -0.0766094, -0.191523, -0.114914
1.45798, 0.191523, -0.306437, 0.0383047
1.62601, 0.191523, -0.421352, 0.306437
1.73196, -3.44742, 3.67725, -3.83047
1.84, -3.44742, 5.51587, -1.53219
1.94699, -4.02199, -8.69516, 1.76202
2.05399, -10.6487, -2.33659, 2.18337
2.16202, -8.92499, -2.98777, 0.842703
2.26901, -9.30804, -2.91116, 1.03423
2.37698, -9.38465, -2.83455, 0.804398
2.48398, -9.23143, -2.91116, 1.11084
2.59201, -9.42295, -2.87285, 1.18745
2.69901, -9.46126, -2.79624, 0.881008
2.806, -9.30804, -2.94946, 1.22575
2.91397, -9.26973, -2.98777, 0.689484
