Time,ax,ay,az
0.177994, 7.66094, 9.53786, 19.995
0.283997, -5.7457, -2.64302, 1.41727
0.391998, -8.65686, -7.50772, 0.383047
0.498993, -12.6788, -9.42295, -2.10676
0.606995, -13.0619, -16.4327, 1.6471
0.713989, -1.34066, -0.421352, -0.57457
0.820999, -0.612875, -0.919312, -0.421352
0.929001, -0.0383047, -0.842703, -0.536266
1.03699, 0.0, -0.344742, -0.689484
1.144, 6.20536, 19.3822, 55.3886
1.25099, 5.17113, 9.07821, 10.189
1.35899, 1.45558, -1.45558, 4.0986
1.46599, 3.83047, 2.87285, 7.27789
1.573, 2.64302, 2.25998, 8.69516
1.741, 3.40912, 2.64302, 8.61855
1.849, 3.2559, 2.68133, 8.42703
1.95599, 3.33251, 2.52811, 8.38873
2.064, 3.52403, 2.4898, 9.0016
2.17099, 3.33251, 2.52811, 8.65686
2.278, 3.37081, 2.52811, 8.73347
2.38599, 3.17929, 2.60472, 8.50364
2.49399, 3.21759, 2.68133, 8.42703
2.601, 3.14098, 2.64302, 8.27381
2.70799, 3.33251, 2.56641, 8.23551
2.817, 3.2559, 2.37489, 8.42703
2.92299, 3.2942, 2.52811, 8.23551
