Time,ax,ay,az
0.167, -0.536266, 0.0, 9.19312
0.274, 0.114914, 0.0383047, 9.69109
0.382, -0.0766094, 0.0383047, 9.806
0.489, -0.306437, -0.268133, 9.34634
0.597, -0.191523, -0.421352, 9.34634
0.704, -0.0766094, -0.497961, 9.30804
0.811001, -0.191523, -0.229828, 9.30804
0.919001, -0.268133, -0.344742, 9.07821
1.026, 0.0, -0.344742, 9.11651
1.134, -0.153219, -0.344742, 9.57617
1.241, -0.153219, -0.306437, 8.96329
1.349, 0.0, -0.383047, 9.53786
1.456, -0.0766094, -0.497961, 9.57617
1.563, -0.153219, -0.689484, 9.34634
1.725, 0.0383047, -0.421352, 9.46126
1.833, 0.0, -0.383047, 9.34634
1.94, 0.0766094, -0.536266, 9.07821
2.048, 0.114914, -0.191523, 9.53786
2.155, 0.0, -0.344742, 9.99752
2.263, 0.383047, -0.268133, 8.92499
2.369, 0.268133, -0.268133, 9.46126
2.476, 0.268133, -0.268133, 9.42295
2.583, 0.229828, -0.536266, 9.72939
2.69, 0.268133, -0.383047, 9.30804
2.798, 0.153219, -0.497961, 9.42295
2.905, 0.153219, -0.268133, 9.38465
