Time,ax,ay,az
0.174011, -0.957617, -2.33659, 5.63079
0.281006, -3.67725, -5.24774, 12.0277
0.386993, -4.21351, -1.6471, 23.3659
0.494995, -5.17113, -4.67317, 21.5272
0.60199, -9.07821, -9.15482, 20.7611
0.709991, -6.47349, -0.536266, 10.1124
0.817017, 0.153219, 0.0, -0.536266
0.924011, 0.191523, 0.0766094, -0.153219
1.03, 0.191523, 0.229828, 0.114914
1.13699, 0.153219, 0.344742, -0.0383047
1.245, 0.344742, 0.153219, 0.0383047
1.35199, 0.497961, 0.306437, 0.0766094
1.45999, 0.689484, 37.9982, 20.3015
1.56702, 11.5297, -0.536266, 12.2575
1.73502, 0.114914, 1.11084, 20.2632
1.84302, -1.22575, 0.727789, 14.9388
1.95001, -2.60472, 0.881008, 13.4832
2.056, -2.33659, 1.03423, 11.568
2.164, -0.153219, 0.65118, 9.34634
2.271, -0.0383047, 0.268133, 7.54602
2.379, 0.306437, 0.804398, 7.73755
2.48599, 0.306437, 0.65118, 9.34634
2.59399, 0.919312, 0.268133, 8.88668
2.70001, 1.34066, 0.536266, 8.69516
2.80701, 1.34066, 0.383047, 9.95922
2.91501, 1.22575, 0.383047, 9.38465
