Time,ax,ay,az
0.168976, 0.842703, 1.87693, 19.3822
0.276978, 0.229828, 0.153219, 31.6014
0.384003, -3.71555, -9.30804, 19.0757
0.491974, 0.191523, 0.0, -0.306437
0.597992, 0.0766094, 0.497961, -0.268133
0.705994, 0.114914, 0.268133, -0.497961
0.812988, 0.0383047, 0.191523, -0.153219
0.919983, 0.114914, -0.0383047, -0.153219
1.02798, 0.0383047, -0.191523, 0.0
1.13498, 0.0383047, -0.268133, 0.268133
1.24298, -0.344742, -0.306437, 0.191523
1.34998, 1.49388, -1.41727, 1.53219
1.45798, 2.71963, 2.4515, 23.7106
1.565, -4.63487, -2.79624, 16.5093
1.728, -0.727789, 0.229828, 10.4572
1.83499, -0.0766094, 1.57049, 9.0016
1.94299, -0.153219, -0.65118, 9.34634
2.04999, 0.306437, -1.45558, 8.84838
2.15698, -0.842703, -1.83862, 8.58025
2.26398, -0.881008, -0.689484, 8.96329
2.37198, -3.56234, 1.80032, 9.95922
2.47897, -2.83455, -0.0383047, 9.61448
2.586, -1.07253, 1.26405, 9.61448
2.694, -0.842703, 1.18745, 9.42295
2.80099, -0.306437, 0.612875, 9.30804
2.909, 0.268133, -0.383047, 11.2616
