Time,ax,ay,az
0.172989, -11.1467, -7.92907, 6.5501
0.280991, -3.02607, 0.344742, -0.689484
0.388992, -0.114914, 0.306437, -0.612875
0.495987, -0.153219, 0.306437, -0.612875
0.602997, -0.0383047, 0.344742, -0.421352
0.709991, -0.0766094, 0.229828, -0.497961
0.817993, -0.229828, 0.191523, -0.612875
0.925995, -0.268133, 0.0766094, -0.689484
1.03299, -0.383047, 0.114914, -0.459656
1.14, -4.903, -1.80032, 4.40504
1.248, -1.49388, -8.42703, 9.0016
1.355, -1.14914, -7.50772, 18.731
1.46199, -8.88668, -3.60064, 19.6503
1.63599, -6.58841, -1.37897, 10.3423
1.74399, -1.34066, -2.64302, 9.99752
1.851, -0.65118, -1.07253, 7.73755
1.959, -0.383047, -0.57457, 4.78809
2.06599, -3.10268, -0.842703, 6.16705
2.17299, -3.37081, 0.306437, 8.12059
2.28099, -5.05622, 0.995922, 7.20128
2.388, -6.74162, 0.344742, 6.47349
2.49599, -5.89892, 0.114914, 7.00976
2.603, -5.97553, 0.57457, 7.27789
2.70999, -6.85654, 1.14914, 7.12467
2.81799, -5.93723, 0.536266, 6.5501
2.92499, -5.93723, -0.229828, 7.00976
