Time,ax,ay,az
0.170013, -0.268133, 1.76202, 9.26973
0.276001, -0.306437, 1.95354, 9.30804
0.384003, -0.153219, 1.83862, 8.84838
0.490997, -0.114914, 1.91523, 8.58025
0.598999, -0.191523, 2.10676, 8.00568
0.705994, -0.0383047, 2.14506, 9.03991
0.812988, 0.0383047, 2.10676, 9.38465
0.92099, 0.0766094, 1.80032, 8.73347
1.02798, 0.0, 1.80032, 9.11651
1.13599, 0.114914, 2.06845, 9.34634
1.24301, 0.306437, 1.37897, 9.49956
1.35199, -0.229828, 1.6088, 9.15482
1.45801, -0.191523, 1.22575, 9.23143
1.565, 0.0383047, 1.87693, 9.30804
1.73001, -0.114914, 1.95354, 8.92499
1.83801, 0.153219, 1.95354, 9.49956
1.94501, 0.0383047, 1.6088, 8.92499
2.05301, 0.0766094, 1.83862, 9.76769
2.159, -0.153219, 1.57049, 9.19312
2.267, 0.229828, 1.68541, 9.42295
2.37399, -0.0766094, 1.53219, 9.30804
2.48001, 0.0, 1.68541, 9.23143
2.58801, -0.191523, 1.6088, 8.84838
2.69501, -0.153219, 1.80032, 9.15482
2.80301, -0.0383047, 1.6471, 9.03991
2.91, 0.153219, 1.87693, 9.03991
