Time,ax,ay,az
0.171997, 1.37897, 0.995922, 5.93723
0.278992, 1.14914, 1.95354, 11.2616
0.38501, -4.21351, 0.306437, 18.8842
0.493042, -0.421352, -0.689484, 27.7326
0.600037, -7.04806, 7.23959, 27.0814
0.708008, -2.71963, 11.8745, 12.7172
0.815002, 0.459656, -0.0766094, 0.65118
0.923035, 0.497961, -0.229828, 0.0383047
1.02899, 0.421352, -0.153219, 0.57457
1.13599, 0.459656, -0.0766094, 0.114914
1.24402, 0.497961, -0.114914, 0.766094
1.35101, 0.459656, -0.0766094, 0.804398
1.45898, 0.459656, -0.0766094, 0.612875
1.62799, 1.03423, 4.59656, 6.77993
1.73499, 4.0603, 5.7457, 20.9527
1.84204, 0.881008, 5.7074, 17.8117
1.95001, 1.34066, 5.09452, 14.2493
2.05701, 1.45558, 4.25182, 12.4873
2.16504, 1.99184, 3.40912, 9.69109
2.27203, 0.344742, 1.87693, 8.92499
2.37903, 0.344742, 0.536266, 8.00568
2.48602, -1.49388, -0.268133, 7.20128
2.59302, -0.191523, -1.22575, 7.96737
2.70099, 0.612875, -1.49388, 7.3545
2.80798, 1.11084, -1.72371, 9.61448
2.91602, 0.842703, -1.45558, 10.7253
